Statistiska tätorter 2023, befolkning, landareal, befolkningstäthet;;;;;;;;;;;;;;;;;;;;;;;;
Källa: SCB, www.scb.se/MI0810. Publicerad 2024-11-28;;;;;;;;;;;;;;;;;;;;;;;;
Statistisk tätort: Bebyggelseområde med minst 200 folkbokförda invånare och tät bebyggelse;;;;;;;;;;;;;;;;;;;;;;;;
Befolkning: Befolkning folkbokförd på adress inom statistiska tätorter 2023;;;;;;;;;;;;;;;;;;;;;;;;
Befolkningstäthet: Antal folkbokförda invånare dividerat med tätortens landareal i kvadratkilometer;;;;;;;;;;;;;;;;;;;;;;;;
Kommun och län avser tätorterns mest ursprungliga del eller den ytmässigt största delen av tätorten;;;;;;;;;;;;;;;;;;;;;;;;
Preliminära tätortsbeteckningar avser nya tätorter och tätorter med stor förändring i yta. Lantmäteriet utreder och fastställer definitiva beteckningar. ;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Länskod;Länsnamn;Kommunkod ;Kommunnamn;Tätortskod;Tätortsbeteckning;"Ny
2023";"Befolkning 
2020-12-30";"Befolkning 
2023-12-31";"Skillnad 
befolkning 
2020-2023";"Landareal 
i hektar
2020";"Landareal 
i hektar
2023";"Skillnad 
i landareal
2020-2023";"Befolknings-
täthet
2020-12-30";"Befolknings-
täthet
2023-12-31";"Skillnad
befolknings-täthet 
2020-2023";;;;;;;;;
01;Stockholm;0114;Upplands Väsby;0114TB103;Löwenströmska lasarettet;;581;605;24;66;67;1;877;899;22;;;;;;;;;
01;Stockholm;0114;Upplands Väsby;0114TB107;Båtbyggartorp och Harva;;221;285;64;48;50;2;462;575;113;;;;;;;;;
01;Stockholm;0115;Vallentuna;0115TB101;Brottby;;248;213;-35;38;39;1;648;551;-97;;;;;;;;;
01;Stockholm;0115;Vallentuna;0115TB102;Ekskogen, Älgeby och Långsjötorp;;347;400;53;215;257;42;162;156;-6;;;;;;;;;
01;Stockholm;0115;Vallentuna;0115TB103;Ekskogen;;263;278;15;61;70;9;429;396;-33;;;;;;;;;
01;Stockholm;0115;Vallentuna;0115TB104;Johannesudd;;306;374;68;16;17;1;1 946;2 164;218;;;;;;;;;
01;Stockholm;0115;Vallentuna;0115TB105;Karby;;838;802;-36;55;55;0;1 534;1 447;-87;;;;;;;;;
01;Stockholm;0115;Vallentuna;0115TB106;Kårsta;;513;630;117;80;82;2;645;770;125;;;;;;;;;
01;Stockholm;0115;Vallentuna;0115TB107;Lindholmen;;1 186;1 264;78;113;114;1;1 047;1 109;62;;;;;;;;;
01;Stockholm;0115;Vallentuna;0115TC108;Vallentuna;;33 336;33 918;582;1 771;1 817;46;1 882;1 867;-15;;;;;;;;;
01;Stockholm;0117;Österåker;0117TB101;Bammarboda;;671;759;88;312;314;2;215;242;27;;;;;;;;;
01;Stockholm;0117;Österåker;0117TB104;Laggarsvik och Linanäs;;321;341;20;382;390;8;84;88;4;;;;;;;;;
01;Stockholm;0117;Österåker;0117TB105;Täljö och Näs (preliminär);;476;1 207;731;109;139;30;437;869;432;;;;;;;;;
01;Stockholm;0117;Österåker;0117TB106;Rydbo;;580;574;-6;41;43;2;1 399;1 344;-55;;;;;;;;;
01;Stockholm;0117;Österåker;0117TB107;Solberga;;528;536;8;133;144;11;398;373;-25;;;;;;;;;
01;Stockholm;0117;Österåker;0117TB108;Nyhagen och Översättra;;671;615;-56;76;78;2;886;791;-95;;;;;;;;;
01;Stockholm;0117;Österåker;0117TB109;Stava;;377;412;35;111;111;0;338;371;33;;;;;;;;;
01;Stockholm;0117;Österåker;0117TB110;Nolsjö och Mellansjö;;572;712;140;283;308;25;202;231;29;;;;;;;;;
01;Stockholm;0117;Österåker;0117TB111;Svinninge;;2 857;3 325;468;579;587;8;493;567;74;;;;;;;;;
01;Stockholm;0117;Österåker;0117TC112;Åkersberga;;35 747;37 714;1 967;2 534;2 517;-17;1 411;1 498;87;;;;;;;;;
01;Stockholm;0120;Värmdö;0120TB102;Grönskan, Vedhamn och Baldersnäs;;273;289;16;191;190;-1;143;152;9;;;;;;;;;
01;Stockholm;0120;Värmdö;0120TB104;Betsede;;319;346;27;56;54;-2;572;638;66;;;;;;;;;
01;Stockholm;0120;Värmdö;0120TB105;Djurö;;1 179;1 186;7;246;267;21;479;444;-35;;;;;;;;;
01;Stockholm;0120;Värmdö;0120TB108;Fågelvikshöjden och Brunn (preliminär);;2 333;4 223;1 890;581;880;299;402;480;78;;;;;;;;;
01;Stockholm;0120;Värmdö;0120TB113;Norra Ingaröstrand och Skälsmara;;882;692;-190;455;407;-48;194;170;-24;;;;;;;;;
01;Stockholm;0120;Värmdö;0120TB114;Kopparmora;;2 302;2 366;64;735;735;0;313;322;9;;;;;;;;;
01;Stockholm;0120;Värmdö;0120TB115;Långvik och Björnömalmen (preliminär);;599;1 226;627;144;299;155;415;410;-5;;;;;;;;;
01;Stockholm;0120;Värmdö;0120TB117;Norra Lagnö;;377;340;-37;94;96;2;400;355;-45;;;;;;;;;
01;Stockholm;0120;Värmdö;0120TB119;Lugnet och Skälsmara;;701;743;42;292;383;91;240;194;-46;;;;;;;;;
01;Stockholm;0120;Värmdö;0120TB120;Stavsnäs;;1 871;1 898;27;971;985;14;193;193;0;;;;;;;;;
01;Stockholm;0120;Värmdö;0120TB121;Strömma;;2 622;2 737;115;708;715;7;370;383;13;;;;;;;;;
01;Stockholm;0120;Värmdö;0120TB123;Koviksudde och Skeviksstrand;;338;382;44;92;93;1;366;409;43;;;;;;;;;
01;Stockholm;0120;Värmdö;0120TB125;Ängsvik;;441;425;-16;78;83;5;567;515;-52;;;;;;;;;
01;Stockholm;0120;Värmdö;0120TB126;Älvsala;;381;534;153;335;469;134;114;114;0;;;;;;;;;
01;Stockholm;0120;Värmdö;0120TB127;Norra Vindö;;263;246;-17;496;499;3;53;49;-4;;;;;;;;;
01;Stockholm;0120;Värmdö;0120TB178;Södra Vindö;;342;383;41;393;457;64;87;84;-3;;;;;;;;;
01;Stockholm;0120;Värmdö;0120TC109;Gustavsberg;;24 341;25 034;693;1 491;1 513;22;1 632;1 654;22;;;;;;;;;
01;Stockholm;0125;Ekerö;0125TB101;Drottningholm;;316;320;4;48;48;0;662;664;2;;;;;;;;;
01;Stockholm;0125;Ekerö;0125TB103;Ekerö sommarstad;;594;602;8;94;95;1;632;637;5;;;;;;;;;
01;Stockholm;0125;Ekerö;0125TB104;Parksidan och Solsidan;;961;987;26;57;57;0;1 677;1 720;43;;;;;;;;;
01;Stockholm;0125;Ekerö;0125TB105;Hilleshögby;;223;218;-5;74;79;5;301;277;-24;;;;;;;;;
01;Stockholm;0125;Ekerö;0125TB106;Kungsberga;;917;876;-41;253;245;-8;363;358;-5;;;;;;;;;
01;Stockholm;0125;Ekerö;0125TB107;Lilla Stenby;;250;296;46;84;93;9;298;319;21;;;;;;;;;
01;Stockholm;0125;Ekerö;0125TB108;Lurudden;;229;235;6;57;58;1;404;408;4;;;;;;;;;
01;Stockholm;0125;Ekerö;0125TB109;Sundby;;471;478;7;79;93;14;596;516;-80;;;;;;;;;
01;Stockholm;0125;Ekerö;0125TB111;Stenhamra;;3 636;3 743;107;348;370;22;1 046;1 011;-35;;;;;;;;;
01;Stockholm;0125;Ekerö;0125TB112;Söderby;;279;297;18;72;79;7;387;376;-11;;;;;;;;;
01;Stockholm;0125;Ekerö;0125TB113;Tureholm;;1 097;969;-128;329;336;7;334;288;-46;;;;;;;;;
01;Stockholm;0125;Ekerö;0125TB114;Älvnäs;;802;822;20;58;58;0;1 394;1 416;22;;;;;;;;;
01;Stockholm;0125;Ekerö;0125TB115;Ölsta;;730;715;-15;239;240;1;305;298;-7;;;;;;;;;
01;Stockholm;0125;Ekerö;0125TB120;Ekeby tomtområde;;210;205;-5;111;109;-2;189;187;-2;;;;;;;;;
01;Stockholm;0125;Ekerö;0125TB157;Slottshagen, Bona, Helgö bol och Kungens täppa;;291;286;-5;99;100;1;294;286;-8;;;;;;;;;
01;Stockholm;0125;Ekerö;0125TB173;Jungfrusund;;299;370;71;14;16;2;2 117;2 361;244;;;;;;;;;
01;Stockholm;0125;Ekerö;0125TC102;Ekerö;;12 332;12 270;-62;605;635;30;2 040;1 932;-108;;;;;;;;;
01;Stockholm;0126;Huddinge;0126TB101;Gladö kvarn;;772;979;207;142;142;0;543;690;147;;;;;;;;;
01;Stockholm;0126;Huddinge;0126TB102;Vidja;;882;994;112;191;193;2;461;516;55;;;;;;;;;
01;Stockholm;0126;Huddinge;0126TB103;Östorp och Ådran;;246;247;1;111;111;0;221;223;2;;;;;;;;;
01;Stockholm;0127;Botkyrka;0127TB101;Norra Riksten;;2 870;3 592;722;58;75;17;4 935;4 787;-148;;;;;;;;;
01;Stockholm;0127;Botkyrka;0127TB102;Sibble;;343;344;1;95;94;-1;361;367;6;;;;;;;;;
01;Stockholm;0127;Botkyrka;0127TB115;Kagghamra tomtområde;;286;333;47;86;87;1;333;382;49;;;;;;;;;
01;Stockholm;0127;Botkyrka;0127TC103;Tumba;;46 014;46 893;879;2 158;2 244;86;2 132;2 090;-42;;;;;;;;;
01;Stockholm;0136;Haninge;0136TB101;Dalarö;;1 915;1 885;-30;606;619;13;316;305;-11;;;;;;;;;
01;Stockholm;0136;Haninge;0136TB103;Muskö;;258;283;25;67;95;28;382;299;-83;;;;;;;;;
01;Stockholm;0136;Haninge;0136TB104;Norra Muskö;;229;270;41;466;489;23;49;55;6;;;;;;;;;
01;Stockholm;0136;Haninge;0136TB105;Väländan;;557;562;5;162;166;4;343;339;-4;;;;;;;;;
01;Stockholm;0136;Haninge;0136TB106;Västerhaninge;;19 381;31 941;12 560;1 129;1 649;520;1 716;1 937;221;;;;;;;;;
01;Stockholm;0136;Haninge;0136TB107;Gansta och Söderby;;433;419;-14;199;188;-11;218;223;5;;;;;;;;;
01;Stockholm;0136;Haninge;0136TB108;Årsta Havsbad;;561;595;34;172;184;12;326;324;-2;;;;;;;;;
01;Stockholm;0136;Haninge;0136TB139;Runsten (preliminär);1;;275;;;21;0;;1 292;0;;;;;;;;;
01;Stockholm;0139;Upplands-Bro;0139TB101;Bro;;9 485;9 440;-45;497;509;12;1 908;1 853;-55;;;;;;;;;
01;Stockholm;0139;Upplands-Bro;0139TB103;Håbo-Tibble kyrkby;;664;658;-6;159;162;3;417;405;-12;;;;;;;;;
01;Stockholm;0139;Upplands-Bro;0139TB106;Rättarboda;;589;2 433;1 844;70;83;13;846;2 930;2 084;;;;;;;;;
01;Stockholm;0139;Upplands-Bro;0139TB114;Jursta;;474;467;-7;10;12;2;4 531;3 906;-625;;;;;;;;;
01;Stockholm;0139;Upplands-Bro;0139TB120;Smidö;;204;245;41;67;67;0;306;366;60;;;;;;;;;
01;Stockholm;0139;Upplands-Bro;0139TC104;Kungsängen och Brunna (preliminär);;12 497;16 899;4 402;464;814;350;2 694;2 075;-619;;;;;;;;;
01;Stockholm;0140;Nykvarn;0140TB101;Finkarby;;220;218;-2;66;68;2;334;323;-11;;;;;;;;;
01;Stockholm;0140;Nykvarn;0140TB103;Nygårds hagar;;234;443;209;26;67;41;902;658;-244;;;;;;;;;
01;Stockholm;0140;Nykvarn;0140TB104;Stensättra tomtområde;;416;568;152;115;123;8;360;460;100;;;;;;;;;
01;Stockholm;0140;Nykvarn;0140TB105;Turinge och Vidbynäs;;305;362;57;61;65;4;504;557;53;;;;;;;;;
01;Stockholm;0140;Nykvarn;0140TB117;Rimsjöhöjden;;200;202;2;11;12;1;1 806;1 656;-150;;;;;;;;;
01;Stockholm;0140;Nykvarn;0140TC102;Nykvarn;;7 862;8 508;646;645;667;22;1 219;1 276;57;;;;;;;;;
01;Stockholm;0160;Täby;0160TB101;Arninge;;1 978;2 789;811;163;168;5;1 211;1 660;449;;;;;;;;;
01;Stockholm;0162;Danderyd;0162TB101;Tranholmen;;427;436;9;38;38;0;1 119;1 133;14;;;;;;;;;
