"Name","Mammals","Birds","Reptiles*","Amphibians","Fishes*","Molluscs*","Other Inverts*","Plants*","Fungi*","Chromists*","Total"
"Åland Islands","0","0","0","0","0","0","0","1","3","0","4"
"Albania","5","11","6","3","71","54","25","5","0","0","180"
"Andorra","4","4","2","1","0","2","4","1","3","0","21"
"Austria","6","16","1","2","16","45","65","38","66","0","255"
"Belgium","4","11","0","1","23","6","18","3","33","0","99"
"Bosnia and Herzegovina","6","12","3","4","57","22","37","5","1","0","147"
"Bulgaria","11","21","3","2","19","35","41","13","14","0","159"
"Croatia","10","18","4","4","81","56","47","10","33","0","263"
"Czechia","6","13","0","2","2","7","40","31","45","0","146"
"Denmark","2","13","0","0","29","5","15","2","44","0","110"
"Estonia","2","14","0","0","4","4","9","2","38","0","73"
"Faroe Islands","4","6","0","0","24","0","1","1","4","0","40"
"Finland","3","15","0","0","3","4","16","4","43","0","88"
"France","13","24","6","6","83","98","142","68","78","0","518"
"Germany","7","15","1","2","38","31","67","51","69","0","281"
"Gibraltar","4","12","0","1","38","5","4","1","0","0","65"
"Greece","12","21","7","6","95","205","282","335","16","0","981"
"Greenland","9","7","0","0","13","0","1","1","2","0","33"
"Guernsey","0","1","0","0","15","1","0","0","1","0","18"
"Holy See (Vatican City State)","2","1","0","0","0","0","0","0","0","0","3"
"Hungary","6","17","1","2","8","10","38","45","26","0","153"
"Iceland","6","8","0","0","24","0","2","0","10","0","50"
"Ireland","4","12","1","0","46","5","4","9","29","0","110"
"Isle of Man","0","2","0","0","9","0","0","1","5","0","17"
"Italy","10","20","6","13","84","89","193","121","63","0","599"
"Jersey","0","2","0","0","15","2","0","0","2","0","21"
"Latvia","2","16","0","0","5","4","14","1","17","0","59"
"Liechtenstein","0","4","0","1","0","2","6","1","5","0","19"
"Lithuania","2","12","0","0","5","4","7","2","19","0","51"
"Luxembourg","1","6","0","1","1","6","4","3","5","0","27"
"Malta","3","9","1","0","45","5","8","4","1","0","76"
"Monaco","5","2","0","0","39","2","4","2","0","0","54"
"Montenegro","7","15","4","3","61","27","56","6","6","0","185"
"Netherlands","5","13","0","1","24","6","13","3","41","0","106"
"North Macedonia","7","15","3","2","18","71","29","6","9","0","160"
"Norway","8","14","0","0","37","4","13","20","65","0","161"
"Poland","6","16","0","1","8","9","37","16","39","0","132"
"Portugal","15","20","4","4","83","86","168","142","18","0","543"
"Romania","15","21","3","1","21","27","67","14","12","0","181"
"San Marino","1","2","0","1","2","1","0","0","0","0","7"
"Serbia","9","17","2","2","13","10","59","9","8","0","129"
"Slovakia","7","16","0","1","6","9","36","32","43","0","150"
"Slovenia","9","13","3","4","52","36","68","12","32","0","229"
"Spain","18","26","19","9","87","168","194","294","64","0","879"
"Svalbard and Jan Mayen","4","4","0","0","5","0","0","1","0","0","14"
"Sweden","1","15","0","0","24","5","18","12","66","0","141"
"Switzerland","6","13","1","3","31","12","76","20","60","0","222"
"United Kingdom","4","15","1","0","64","7","25","54","57","0","227"
