Id;ScientificName;SwedishName;Type;TaxonCategoryId;GlobalSortorder
206220;Amblyraja radiata;klorocka;Taxon;17;55299
206061;Anarhichas lupus;havskatt;Taxon;17;55723
206063;Anguilla anguilla;ål;Taxon;17;55416
100024;Canis lupus lupus;eurasiatisk skogsvarg;Taxon;18;56436
206181;Coryphaenoides rupestris;storfjällig skoläst;Taxon;17;55932
102145;Hippoglossus hippoglossus;hälleflundra;Taxon;17;55760
102130;Lamna nasus;håbrand;Taxon;17;55360
101299;Melitta melanura;storblomsterbi;Taxon;17;29566
206180;Molva molva;långa;Taxon;17;55929
262167;Myotis alcathoe;nymffladdermus;Taxon;17;56503
100085;Myotis bechsteinii;Bechsteins fladdermus;Taxon;17;56504
205991;Myotis myotis;större musöra;Taxon;17;56508
100101;Petromyzon marinus;havsnejonöga;Taxon;17;55276
232475;Phocoena phocoena (Baltic population);tumlare (östersjöpopulationen);Taxon;23;56337
232267;Plecotus austriacus;grålångöra;Taxon;17;56522
206146;Pollachius pollachius;lyrtorsk;Taxon;17;55907
206259;Somniosus microcephalus;håkäring;Taxon;17;55375
206266;Squalus acanthias;pigghaj;Taxon;17;55378
100005;Vulpes lagopus;fjällräv;Taxon;17;56441
