Taxon id;Global sorteringsordning;Vetenskapligt namn;Auktor;Svenskt namn;Taxonstatus;Taxonkategori;Svensk förekomst;Svensk invandringshistoria;Rike;Fylum;Klass;Ordning;Familj;Släkte;Småart;Art;Andra identifierare;Andra vetenskapliga namn;Andra svenska namn;Andra namn;Webbadress
4000107;56110;Mammalia;Linnaeus, 1758;däggdjur;Accepterat;Klass;;;Animalia;Chordata;;;;;;;GUID: urn:lsid:marinespecies.org:taxname:1837, Id för taxonid.org: 0b647a;;;;https://dyntaxa.se/taxon/4000107
6034823;56111;Marsupialia;Illiger, 1811;pungdjur;Accepterat;Infraklass;;;Animalia;Chordata;Mammalia;;;;;;;metatheria;;;https://dyntaxa.se/taxon/6034823
6011587;56112;Diprotodontia;Owen, 1866;fåframtandade pungdjur;Accepterat;Ordning;;;Animalia;Chordata;Mammalia;;;;;;GUID: urn:lsid:faunaeur.org:taxname:12615, Id för taxonid.org: 0f610a;;;;https://dyntaxa.se/taxon/6011587
6011588;56113;Phalangeridae;Thomas, 1888;klätterpungdjur;Accepterat;Familj;;;Animalia;Chordata;Mammalia;Diprotodontia;;;;;Id för taxonid.org: 0c9989;;;;https://dyntaxa.se/taxon/6011588
6011589;56114;Trichosurus;Lesson, 1828;;Accepterat;Släkte;;;Animalia;Chordata;Mammalia;Diprotodontia;Phalangeridae;;;;Id för taxonid.org: aea328;;pungrävar;;https://dyntaxa.se/taxon/6011589
6011590;56115;Trichosurus vulpecula;(Kerr, 1792);rävkusu;Accepterat;Art;Ej påträffad;;Animalia;Chordata;Mammalia;Diprotodontia;Phalangeridae;Trichosurus;;;Id för taxonid.org: f9e271;didelphis vulpecula;pungräv;;https://dyntaxa.se/taxon/6011590
6034824;56116;Placentalia;Owen, 1837;högre däggdjur;Accepterat;Infraklass;;;Animalia;Chordata;Mammalia;;;;;;;eutheria;;;https://dyntaxa.se/taxon/6034824
6034827;56117;Boreoeutheria;Springer & de Jong, 2001;;Accepterat;Ranglös;;;Animalia;Chordata;Mammalia;;;;;;;;;;https://dyntaxa.se/taxon/6034827
6034821;56118;Euarchontoglires;Murphy & al., 2001;;Accepterat;Överordning;;;Animalia;Chordata;Mammalia;;;;;;;euarchontoglires;;;https://dyntaxa.se/taxon/6034821
3000301;56119;Lagomorpha;Brandt, 1855;hardjur;Accepterat;Ordning;;;Animalia;Chordata;Mammalia;;;;;;GUID: urn:lsid:faunaeur.org:taxname:12657, Id för taxonid.org: 013d91;;;;https://dyntaxa.se/taxon/3000301
2002148;56120;Leporidae;Fischer von Waldheim, 1817;harar och kaniner;Accepterat;Familj;;;Animalia;Chordata;Mammalia;Lagomorpha;;;;;GUID: urn:lsid:faunaeur.org:taxname:12659, Id för taxonid.org: 090941;;;;https://dyntaxa.se/taxon/2002148
