"Name","Mammals","Birds","Reptiles*","Amphibians","Fishes*","Molluscs*","Other Inverts*","Plants*","Fungi*","Chromists*","Total"
"Antarctica","2","5","0","0","3","0","0","0","0","0","10"
"Bouvet Island","1","1","0","0","1","0","0","0","0","0","3"
"French Southern Territories","3","16","7","0","12","0","0","2","0","0","40"
"Heard Island and McDonald Islands","1","10","0","0","2","0","0","0","0","0","13"
"South Georgia and the South Sandwich Islands","3","6","0","0","2","0","0","0","0","0","11"
"Anguilla","1","6","8","0","49","0","26","3","0","0","93"
"Antigua and Barbuda","2","9","8","0","49","0","26","2","0","0","96"
"Aruba","2","7","2","0","51","1","25","5","0","0","93"
"Bahamas","5","16","13","0","63","1","28","29","0","0","155"
"Barbados","3","9","7","0","48","0","26","4","0","0","97"
"Bermuda","4","9","4","0","36","2","36","8","0","0","99"
"Bonaire, Sint Eustatius and Saba","3","7","7","0","51","0","27","7","0","0","102"
"Cayman Islands","1","8","11","0","44","2","28","23","0","0","117"
"Cuba","10","24","44","48","66","0","39","462","0","0","693"
"Curaçao","3","6","5","0","47","0","26","5","0","0","92"
"Dominica","3","12","3","2","50","0","25","20","0","0","115"
"Dominican Republic","5","23","58","35","48","0","37","174","0","0","380"
"Grenada","3","8","7","1","49","0","27","7","0","0","102"
"Guadeloupe","4","10","14","3","48","1","26","20","0","0","126"
"Haiti","3","23","67","45","62","0","30","296","0","0","526"
"Jamaica","7","16","28","20","49","0","30","213","0","0","363"
"Martinique","1","11","9","2","46","2","23","19","1","0","114"
"Montserrat","2","9","4","1","46","0","26","8","0","0","96"
"Puerto Rico","2","19","16","14","49","0","26","109","1","0","236"
"Saint Barthélemy","1","6","4","0","36","0","25","2","0","0","74"
"Saint Kitts and Nevis","2","9","6","1","47","0","26","5","0","0","96"
"Saint Lucia","2","13","9","0","47","0","25","16","0","0","112"
"Saint Martin (French part)","2","7","7","0","44","0","25","2","0","0","87"
"Saint Vincent and the Grenadines","2","10","8","1","47","0","26","8","0","0","102"
"Sint Maarten (Dutch part)","2","6","7","0","44","0","25","1","0","0","85"
"Trinidad and Tobago","3","10","7","4","62","0","26","64","0","0","176"
"Turks and Caicos Islands","2","9","8","0","45","0","25","11","0","0","100"
"Virgin Islands, British","1","8","15","2","48","0","26","26","0","0","126"
"Virgin Islands, U.S.","1","9","14","3","47","0","24","23","0","0","121"
"China","80","94","56","149","379","16","144","835","8","0","1,761"
"Hong Kong","6","25","8","6","36","1","40","17","0","0","139"
"Japan","29","52","26","45","173","62","211","76","16","0","690"
"Korea, Democratic People's Republic of","10","33","2","2","53","0","4","20","2","0","126"
"Korea, Republic of","12","37","3","9","84","6","24","38","3","0","216"
"Macao","0","7","2","1","21","0","25","0","0","0","56"
"Mongolia","10","26","0","0","1","0","2","1","4","0","44"
"Taiwan, Province of China","12","28","15","10","153","4","203","93","2","0","520"
"Åland Islands","0","0","0","0","0","0","0","1","3","0","4"
"Albania","5","11","6","3","71","54","25","5","0","0","180"
"Andorra","4","4","2","1","0","2","4","1","3","0","21"
"Austria","6","16","1","2","16","45","65","38","66","0","255"
"Belgium","4","11","0","1","23","6","18","3","33","0","99"
"Bosnia and Herzegovina","6","12","3","4","57","22","37","5","1","0","147"
"Bulgaria","11","21","3","2","19","35","41","13","14","0","159"
"Croatia","10","18","4","4","81","56","47","10","33","0","263"
"Czechia","6","13","0","2","2","7","40","31","45","0","146"
"Denmark","2","13","0","0","29","5","15","2","44","0","110"
"Estonia","2","14","0","0","4","4","9","2","38","0","73"
"Faroe Islands","4","6","0","0","24","0","1","1","4","0","40"
"Finland","3","15","0","0","3","4","16","4","43","0","88"
"France","13","24","6","6","83","98","142","68","78","0","518"
"Germany","7","15","1","2","38","31","67","51","69","0","281"
"Gibraltar","4","12","0","1","38","5","4","1","0","0","65"
"Greece","12","21","7","6","95","205","282","335","16","0","981"
"Greenland","9","7","0","0","13","0","1","1","2","0","33"
"Guernsey","0","1","0","0","15","1","0","0","1","0","18"
"Holy See (Vatican City State)","2","1","0","0","0","0","0","0","0","0","3"
"Hungary","6","17","1","2","8","10","38","45","26","0","153"
"Iceland","6","8","0","0","24","0","2","0","10","0","50"
"Ireland","4","12","1","0","46","5","4","9","29","0","110"
"Isle of Man","0","2","0","0","9","0","0","1","5","0","17"
"Italy","10","20","6","13","84","89","193","121","63","0","599"
"Jersey","0","2","0","0","15","2","0","0","2","0","21"
"Latvia","2","16","0","0","5","4","14","1","17","0","59"
"Liechtenstein","0","4","0","1","0","2","6","1","5","0","19"
"Lithuania","2","12","0","0","5","4","7","2","19","0","51"
"Luxembourg","1","6","0","1","1","6","4","3","5","0","27"
"Malta","3","9","1","0","45","5","8","4","1","0","76"
"Monaco","5","2","0","0","39","2","4","2","0","0","54"
"Montenegro","7","15","4","3","61","27","56","6","6","0","185"
"Netherlands","5","13","0","1","24","6","13","3","41","0","106"
"North Macedonia","7","15","3","2","18","71","29","6","9","0","160"
"Norway","8","14","0","0","37","4","13","20","65","0","161"
"Poland","6","16","0","1","8","9","37","16","39","0","132"
"Portugal","15","20","4","4","83","86","168","142","18","0","543"
"Romania","15","21","3","1","21","27","67","14","12","0","181"
"San Marino","1","2","0","1","2","1","0","0","0","0","7"
"Serbia","9","17","2","2","13","10","59","9","8","0","129"
"Slovakia","7","16","0","1","6","9","36","32","43","0","150"
"Slovenia","9","13","3","4","52","36","68","12","32","0","229"
"Spain","18","26","19","9","87","168","194","294","64","0","879"
"Svalbard and Jan Mayen","4","4","0","0","5","0","0","1","0","0","14"
"Sweden","1","15","0","0","24","5","18","12","66","0","141"
"Switzerland","6","13","1","3","31","12","76","20","60","0","222"
"United Kingdom","4","15","1","0","64","7","25","54","57","0","227"
"Belize","10","14","8","2","68","0","27","114","0","0","243"
"Costa Rica","12","31","16","56","139","2","61","463","9","0","789"
"El Salvador","6","16","10","8","53","0","13","108","0","0","214"
"Guatemala","17","25","39","96","100","2","42","479","1","0","801"
"Honduras","10","24","60","70","90","0","38","217","2","0","511"
"Mexico","97","74","107","232","306","14","160","1,626","8","0","2,626"
"Nicaragua","9","25","11","11","98","2","36","129","0","0","321"
"Panama","18","24","16","78","127","0","47","281","3","0","594"
"Algeria","18","22","8","2","67","9","33","31","2","0","192"
"Egypt","20","19","12","0","96","3","129","13","0","0","292"
"Libya","12","13","6","0","54","1","5","8","0","0","99"
"Morocco","21","24","13","3","88","49","36","58","9","0","301"
"Tunisia","15","16","5","0","60","9","16","12","2","0","135"
"Western Sahara","12","8","1","0","66","2","2","1","0","0","92"
"Canada","18","29","6","1","51","21","25","21","38","0","211"
"Saint Pierre and Miquelon","4","15","0","0","13","0","0","0","0","0","32"
"United States","43","85","40","66","285","320","375","749","120","0","2,085"
"Belarus","6","14","0","0","3","4","11","2","5","0","45"
"Moldova","6","14","2","0","6","3","4","2","0","0","37"
"Russian Federation","36","62","8","0","62","7","38","68","52","0","333"
"Ukraine","15","21","2","1","23","10","40","29","19","0","160"
"American Samoa","1","6","6","0","27","6","146","3","0","0","195"
"Australia","71","70","76","46","226","183","447","803","15","0","1,938"
"Christmas Island","2","9","3","0","24","2","62","2","0","0","104"
"Cocos (Keeling) Islands","2","2","1","0","25","2","59","0","0","0","91"
"Cook Islands","1","11","3","0","21","1","103","13","0","0","153"
"Fiji","7","13","16","0","36","86","208","194","0","0","560"
"French Polynesia","0","35","3","0","43","43","111","293","0","0","528"
"Guam","3","13","5","0","26","7","115","5","0","0","174"
"Kiribati","2","5","2","0","25","0","167","0","0","0","201"
"Marshall Islands","1","7","4","0","29","2","166","0","0","0","209"
"Micronesia, Federated States of","6","16","8","0","34","3","197","16","0","0","280"
"Nauru","2","4","0","0","22","0","154","0","0","0","182"
"New Caledonia","8","22","72","0","55","30","191","743","4","0","1,125"
"New Zealand","9","68","52","3","51","39","28","30","14","0","294"
"Niue","1","7","4","0","21","0","103","2","0","0","138"
"Norfolk Island","1","11","2","0","15","11","27","2","0","0","69"
"Northern Mariana Islands","3","14","4","0","26","4","117","7","0","0","175"
"Palau","5","10","4","0","35","43","201","9","0","0","307"
"Papua New Guinea","51","36","13","27","139","24","251","745","3","0","1,289"
"Pitcairn","0","9","0","0","12","5","45","10","0","0","81"
"Samoa","2","3","4","0","29","6","147","15","0","0","206"
"Solomon Islands","24","19","7","3","45","5","223","62","0","0","388"
"Tokelau","0","0","3","0","23","0","98","0","0","0","124"
"Tonga","2","4","4","0","30","26","122","10","0","0","198"
"Tuvalu","2","0","4","0","23","1","162","0","0","0","192"
"United States Minor Outlying Islands","0","10","1","0","18","0","120","0","0","0","149"
"Vanuatu","8","9","5","0","35","8","171","31","0","0","267"
"Wallis and Futuna","0","6","2","0","23","1","139","3","0","0","174"
"Argentina","40","57","29","32","122","0","20","80","33","0","413"
"Bolivia, Plurinational States of","25","47","14","53","41","2","1","440","3","0","626"
"Brazil","98","149","94","189","450","22","90","1,469","50","0","2,611"
"Chile","18","43","28","35","66","1","12","110","22","0","336"
"Colombia","62","88","40","300","194","4","86","1,056","23","0","1,853"
"Ecuador","50","77","93","292","83","49","35","2,090","3","6","2,778"
"Falkland Islands (Malvinas)","4","9","0","0","8","0","0","5","6","0","32"
"French Guiana","8","8","7","4","75","0","1","70","0","0","173"
"Guyana","11","13","6","21","94","0","1","169","2","0","317"
"Paraguay","11","31","12","1","18","0","2","29","5","0","109"
"Peru","52","77","33","139","116","4","7","787","3","0","1,218"
"Suriname","9","9","6","0","71","0","1","69","0","0","165"
"Uruguay","9","26","7","1","85","0","4","22","1","0","155"
"Venezuela, Bolivarian Republic of","37","38","33","127","142","1","60","593","3","0","1,034"
"Bangladesh","40","35","30","0","85","0","12","53","0","0","255"
"Bhutan","29","19","10","1","5","0","1","67","2","0","134"
"British Indian Ocean Territory","0","4","2","0","27","0","142","0","0","0","175"
"Brunei Darussalam","38","44","10","2","69","0","232","227","1","0","623"
"Cambodia","46","35","23","8","104","1","148","97","0","0","462"
"Disputed Territory","0","1","0","0","20","3","167","0","0","0","191"
"India","99","83","106","139","335","7","229","671","4","0","1,673"
"Indonesia","227","151","77","29","377","45","399","1,428","2","0","2,735"
"Lao People's Democratic Republic","51","32","35","10","56","16","7","131","1","0","339"
"Malaysia","82","70","60","41","187","50","338","1,476","9","0","2,313"
"Maldives","2","3","3","0","48","0","128","0","0","0","184"
"Myanmar","55","59","38","6","108","3","163","195","0","0","627"
"Nepal","31","38","17","2","11","1","2","33","2","0","137"
"Philippines","44","87","36","27","153","5","402","1,162","1","0","1,917"
"Singapore","19","24","8","0","82","3","227","74","0","0","437"
"Sri Lanka","29","16","113","71","137","0","217","330","0","0","913"
"Thailand","66","68","42","12","159","16","219","322","1","0","905"
"Timor-Leste","6","11","3","0","40","1","225","8","0","0","294"
"Viet Nam","68","52","75","73","150","31","250","481","0","0","1,180"
"Angola","23","35","10","0","86","7","4","80","0","0","245"
"Benin","16","16","8","1","76","3","1","18","2","0","141"
"Botswana","11","20","1","0","2","0","0","3","0","0","37"
"Burkina Faso","13","16","4","0","3","0","0","6","0","0","42"
"Burundi","16","20","1","1","16","3","3","160","1","0","221"
"Cabo Verde","5","8","6","0","48","14","2","51","0","0","134"
"Cameroon","49","33","24","60","155","14","14","933","0","0","1,282"
"Central African Republic","20","20","7","0","3","2","0","54","0","0","106"
"Chad","17","22","5","0","1","6","0","8","0","0","59"
"Comoros","6","15","9","0","27","0","148","18","0","0","223"
"Congo","18","8","8","1","85","7","0","120","0","0","247"
"Congo, The Democratic Republic of the","47","42","18","13","132","45","9","463","3","0","772"
"Côte d'Ivoire","35","28","9","7","90","8","3","159","0","0","339"
"Djibouti","11","18","1","0","48","1","117","4","0","0","200"
"Equatorial Guinea","24","5","8","6","84","2","3","182","0","0","314"
"Eritrea","16","25","7","0","54","1","134","7","0","0","244"
"Eswatini","9","16","1","0","5","0","4","50","0","0","85"
"Ethiopia","40","38","4","12","15","4","11","211","0","0","335"
"Gabon","17","7","8","5","100","2","2","500","0","0","641"
"Gambia","11","21","6","0","83","3","0","6","0","0","130"
"Ghana","24","28","9","9","88","9","4","125","0","0","296"
"Guinea","35","24","10","7","119","6","5","228","0","0","434"
"Guinea-Bissau","15","17","9","0","73","3","1","12","0","0","130"
"Kenya","32","48","22","15","103","20","146","429","0","0","815"
"Lesotho","4","10","0","0","1","0","1","5","0","0","21"
"Liberia","28","16","9","2","93","5","8","145","0","0","306"
"Madagascar","133","41","139","147","115","35","323","3,030","8","0","3,971"
"Malawi","10","22","4","5","37","7","11","66","0","0","162"
"Mali","15","22","4","0","1","5","0","29","0","0","76"
"Mauritania","19","26","6","0","81","3","3","1","0","0","139"
"Mauritius","7","14","15","0","32","32","166","103","0","0","369"
"Mayotte","2","5","7","1","27","0","144","14","0","0","200"
"Mozambique","19","33","15","7","112","0","134","307","0","0","627"
"Namibia","15","35","5","0","50","2","3","66","0","0","176"
"Niger","15","19","4","0","3","2","0","4","0","0","47"
"Nigeria","36","25","15","13","106","5","10","263","0","0","473"
"Réunion","4","9","2","0","37","17","131","27","0","0","227"
"Rwanda","24","22","4","2","6","0","4","136","0","0","198"
"Saint Helena, Ascension and Tristan da Cunha","3","22","2","0","19","1","172","45","1","0","265"
"Sao Tome and Principe","4","15","6","3","40","4","2","73","0","0","147"
"Senegal","23","25","9","0","92","15","2","23","0","0","189"
"Seychelles","7","16","12","6","48","37","352","60","0","0","538"
"Sierra Leone","25","19","10","1","88","7","5","151","0","0","306"
"Somalia","18","23","5","0","65","2","137","104","0","0","354"
"South Africa","33","55","25","16","157","23","270","460","0","0","1,039"
"South Sudan","18","27","5","0","0","0","2","26","0","0","78"
"Sudan","20","29","6","0","55","0","121","18","0","0","249"
"Tanzania, United Republic of","45","50","41","61","224","11","203","1,108","2","0","1,745"
"Togo","16","17","9","2","69","4","1","15","0","0","133"
"Uganda","32","37","8","2","55","17","17","165","0","0","333"
"Zambia","13","24","4","0","26","12","1","70","2","0","152"
"Zimbabwe","10","24","5","6","5","0","8","82","0","0","140"
"Afghanistan","12","18","3","1","8","0","2","13","0","0","57"
"Armenia","7","17","7","0","2","0","6","82","0","0","121"
"Azerbaijan","7","20","8","1","12","1","5","50","1","0","105"
"Bahrain","3","11","4","0","39","0","32","0","0","0","89"
"Cyprus","7","11","3","1","41","7","16","23","3","0","112"
